id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821
1058,5427,0.485620915,NA,5,Reef,SH,rest,rest,Crepuscular,1,0,0,0,0.083333333,1e-8,Andy and Tim,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
728,5114,0.735442192,NA,42,Reef,NA,NA,NA,Crepuscular,1,0,0,0,0.083333333,1e-8,Bryan and Anna,0.5,0.5,0.5,NA,NA,Low,Volunteer,Low,Low
1074,5430,0.485620915,NA,25,Reef,EXP,hover,active,Crepuscular,1,0,0,0,0.083333333,1e-8,Jason and Gaduken,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
996,5402,0.485620915,NA,20,Reef,EXP,hover,active,Crepuscular,1,0,0,0,0.083333333,1e-8,Mike and Amanda,0,0.001,1,NA,NA,Low,Volunteer,Low,Low
1068,5428,0.485620915,NA,10,Reef,EXP,hover,active,Crepuscular,1,0,0,0,0.083333333,1e-8,Mike and Amanda,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
1069,5428,0.485620915,NA,25,Reef,EXP,hover,active,Crepuscular,1,0,0,0,0.083333333,1e-8,Mike and Amanda,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
664,5107,0.735442192,NA,12,Reef,EXP,hover,active,midday,1,0,0.083333333,0.0014,0.083333333,0.083333333,Hall and Wicksten,0,0.001,1,NA,NA,Low,Volunteer,Low,Low
665,5107,0.735442192,NA,12,Reef,EXP,hover,active,midday,1,0,0.083333333,0.0014,0.083333333,0.083333333,Hall and Wicksten,0,0.001,1,NA,NA,Low,Volunteer,Low,Low
666,5107,0.735442192,NA,12,Reef,EXP,hover,active,midday,1,0,0.083333333,0.0014,0.083333333,0.083333333,Hall and Wicksten,0,0.001,1,NA,NA,Low,Volunteer,Low,Low
667,5107,0.735442192,NA,12,Reef,EXP,rest,rest,midday,1,0,0.083333333,0.0014,0.083333333,0.083333333,Hall and Wicksten,0,0.001,1,NA,NA,Low,Volunteer,Low,Low
